,Rankings,Title,Episodes,Duration,Ratings,Members
0,1,Fullmetal Alchemist: Brotherhood,64.0,Apr 2009 - Jul 2010,9.24,1447702
1,2,Kimi no Na wa.,1.0,Aug 2016 - Aug 2016,9.13,984576
2,3,Shingeki no Kyojin Season 3 Part 2,10.0,Currently Ongoing,9.13,230276
3,4,Steins;Gate,24.0,Apr 2011 - Sep 2011,9.13,1208315
4,5,Gintama°,51.0,Apr 2015 - Mar 2016,9.12,250826
5,6,Hunter x Hunter (2011),148.0,Oct 2011 - Sep 2014,9.12,913430
6,7,Ginga Eiyuu Densetsu,110.0,Jan 1988 - Mar 1997,9.1,155980
7,8,Gintama',51.0,Apr 2011 - Mar 2012,9.09,253724
8,9,Gintama': Enchousen,13.0,Oct 2012 - Mar 2013,9.05,150274
9,10,3-gatsu no Lion 2nd Season,22.0,Oct 2017 - Mar 2018,9.04,137428
10,11,Koe no Katachi,1.0,Sep 2016 - Sep 2016,9.03,707796
11,12,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,1.0,Jul 2013 - Jul 2013,9.01,124195
12,13,Gintama.,12.0,Jan 2017 - Mar 2017,9.0,121434
13,14,Clannad: After Story,24.0,Oct 2008 - Mar 2009,8.99,690059
14,15,Gintama,201.0,Apr 2006 - Mar 2010,8.99,533067
15,16,Owarimonogatari 2nd Season,7.0,Aug 2017 - Aug 2017,8.98,163552
16,17,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,10.0,Oct 2016 - Dec 2016,8.97,334186
17,18,Mob Psycho 100 II,13.0,Jan 2019 - Apr 2019,8.96,316282
18,19,Code Geass: Hangyaku no Lelouch R2,25.0,Apr 2008 - Sep 2008,8.94,914218
19,20,Sen to Chihiro no Kamikakushi,1.0,Jul 2001 - Jul 2001,8.91,833158
20,21,Made in Abyss,13.0,Jul 2017 - Sep 2017,8.87,495228
21,22,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,14.0,Jul 2018 - Oct 2018,8.86,52256
22,23,Kizumonogatari III: Reiketsu-hen,1.0,Jan 2017 - Jan 2017,8.86,184441
23,24,Shigatsu wa Kimi no Uso,22.0,Oct 2014 - Mar 2015,8.86,887035
24,25,Haikyuu!! Second Season,25.0,Oct 2015 - Mar 2016,8.85,422557
25,26,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,12.0,Jan 2017 - Mar 2017,8.83,95349
26,27,Cowboy Bebop,26.0,Apr 1998 - Apr 1999,8.82,845519
27,28,Gintama.: Shirogane no Tamashii-hen,12.0,Jan 2018 - Mar 2018,8.82,68484
28,29,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,39.0,Currently Ongoing,8.81,162765
29,30,Mushishi Zoku Shou 2nd Season,10.0,Oct 2014 - Dec 2014,8.8,143031
30,31,Hajime no Ippo,75.0,Oct 2000 - Mar 2002,8.79,273614
31,32,Mononoke Hime,1.0,Jul 1997 - Jul 1997,8.78,600468
32,33,Code Geass: Hangyaku no Lelouch,25.0,Oct 2006 - Jul 2007,8.77,1136825
33,34,Monogatari Series: Second Season,26.0,Jul 2013 - Dec 2013,8.77,364267
34,35,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,4.0,Feb 1999 - Sep 1999,8.77,189060
35,36,Mushishi Zoku Shou,10.0,Apr 2014 - Jun 2014,8.76,170952
36,37,Yakusoku no Neverland,12.0,Jan 2019 - Mar 2019,8.74,340812
37,38,Mushishi,26.0,Oct 2005 - Jun 2006,8.73,468539
38,39,Ookami Kodomo no Ame to Yuki,1.0,Jul 2012 - Jul 2012,8.73,429941
39,40,Great Teacher Onizuka,43.0,Jun 1999 - Sep 2000,8.72,417172
40,41,Howl no Ugoku Shiro,1.0,Nov 2004 - Nov 2004,8.72,564475
41,42,Tengen Toppa Gurren Lagann,27.0,Apr 2007 - Sep 2007,8.72,911423
42,43,Hajime no Ippo: New Challenger,26.0,Jan 2009 - Jul 2009,8.71,148780
43,44,Natsume Yuujinchou Roku,11.0,Apr 2017 - Jun 2017,8.71,89543
44,45,Natsume Yuujinchou Shi,13.0,Jan 2012 - Mar 2012,8.71,150602
45,46,One Punch Man,12.0,Oct 2015 - Dec 2015,8.71,1295832
46,47,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,1.0,Jan 2019 - Jan 2019,8.7,70770
47,48,Monster,74.0,Apr 2004 - Sep 2005,8.7,418442
48,49,Suzumiya Haruhi no Shoushitsu,1.0,Feb 2010 - Feb 2010,8.7,370736
49,50,Zoku Owarimonogatari,1.0,Nov 2018 - Nov 2018,8.69,70424
50,51,Boku no Hero Academia 2nd Season,25.0,Apr 2017 - Sep 2017,8.68,858832
51,52,Kizumonogatari II: Nekketsu-hen,1.0,Aug 2016 - Aug 2016,8.68,187834
52,53,Mushishi Zoku Shou: Suzu no Shizuku,1.0,May 2015 - May 2015,8.68,69557
53,54,Death Note,37.0,Oct 2006 - Jun 2007,8.66,1701606
